Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
09/27/2023,United States,2020,11,2020-03-14,58672,53529,756,11568,1743,2445,1641,3390,993,1078,642,13437,3165,60,55,,,,,,,,,,,,,,,
09/27/2023,United States,2020,12,2020-03-21,59220,54302,840,11732,1830,2514,1740,3384,1021,1105,618,13203,3066,588,550,,,,,,,,,,,,,,,
09/27/2023,United States,2020,13,2020-03-28,63026,58238,846,11782,2044,2749,1783,3519,1064,1024,629,13710,3067,3226,3043,,,,,,,,,,,,,,,
09/27/2023,United States,2020,14,2020-04-04,72294,67445,948,11592,2298,2871,1849,3538,1027,1038,689,14945,3165,10141,9638,,,,,,,,,,,,,,,
09/27/2023,United States,2020,15,2020-04-11,79113,74012,833,11549,2354,2963,1613,3442,1017,1120,664,15766,3191,16347,15528,,,,,,,,,,,,,,,
09/27/2023,United States,2020,16,2020-04-18,76809,71895,745,11210,2270,2899,1232,3195,916,1098,668,14570,3204,17221,16305,,,,,,,,,,,,,,,
09/27/2023,United States,2020,17,2020-04-25,73909,68740,735,11367,2085,2804,1138,2993,887,987,675,13858,3058,15557,14659,,,,,,,,,,,,,,,
09/27/2023,United States,2020,18,2020-05-02,69304,63931,739,11097,1935,2727,1009,2928,851,961,548,13004,3042,13223,12437,,,,,,,,,,,,,,,
09/27/2023,United States,2020,19,2020-05-09,66814,61173,720,11014,1972,2498,864,2808,855,938,587,13170,2849,11243,10463,,,,,,,,,,,,,,,
09/27/2023,United States,2020,20,2020-05-16,64479,58978,679,11269,1969,2432,857,2770,787,976,563,12735,2958,9239,8497,,,,,,,,,,,,,,,
09/27/2023,United States,2020,21,2020-05-23,61642,56014,713,11116,1834,2417,804,2675,743,917,569,12796,2827,7249,6593,,,,,,,,,,,,,,,
09/27/2023,United States,2020,22,2020-05-30,59682,53987,654,10903,1813,2261,751,2634,759,893,576,12448,2851,6176,5596,,,,,,,,,,,,,,,
09/27/2023,United States,2020,23,2020-06-06,58908,52924,729,11083,1727,2302,701,2563,779,904,554,12463,2791,5060,4519,,,,,,,,,,,,,,,
09/27/2023,United States,2020,24,2020-06-13,58034,52274,693,11130,1741,2326,700,2502,737,923,587,12413,2838,4233,3730,,,,,,,,,,,,,,,
09/27/2023,United States,2020,25,2020-06-20,57999,52211,685,11157,1792,2362,756,2563,761,933,611,12412,2923,3852,3347,,,,,,,,,,,,,,,
09/27/2023,United States,2020,26,2020-06-27,58510,52643,719,11356,1766,2288,722,2539,775,952,575,12515,2959,3846,3333,,,,,,,,,,,,,,,
09/27/2023,United States,2020,27,2020-07-04,59837,53815,682,11298,1933,2362,658,2624,780,985,593,12877,2832,4557,4050,,,,,,,,,,,,,,,
09/27/2023,United States,2020,28,2020-07-11,61962,55858,764,11333,1954,2472,739,2615,751,915,668,13042,2921,5786,5236,,,,,,,,,,,,,,,
09/27/2023,United States,2020,29,2020-07-18,63177,57140,708,11373,1887,2501,767,2647,712,984,666,12868,2982,7198,6530,,,,,,,,,,,,,,,
09/27/2023,United States,2020,30,2020-07-25,64249,58386,683,11553,1957,2510,781,2559,730,969,672,12933,2913,8250,7521,,,,,,,,,,,,,,,
09/27/2023,United States,2020,31,2020-08-01,64235,58275,689,11514,1989,2502,760,2737,779,961,624,12834,2989,8308,7613,,,,,,,,,,,,,,,
09/27/2023,United States,2020,32,2020-08-08,63719,57822,785,11529,1797,2434,782,2594,730,909,671,12819,3036,7870,7182,,,,,,,,,,,,,,,
09/27/2023,United States,2020,33,2020-08-15,63665,57760,736,11705,1895,2527,754,2657,798,969,638,12849,2946,7270,6563,,,,,,,,,,,,,,,
09/27/2023,United States,2020,34,2020-08-22,62562,56595,735,11517,1935,2566,697,2642,783,967,624,12769,2930,6389,5748,,,,,,,,,,,,,,,
09/27/2023,United States,2020,35,2020-08-29,61104,55332,726,11576,1883,2430,678,2559,745,983,609,12476,2994,5755,5153,,,,,,,,,,,,,,,
09/27/2023,United States,2020,36,2020-09-05,60247,54238,701,11376,1837,2506,733,2552,801,929,568,12513,2862,5021,4434,,,,,,,,,,,,,,,
09/27/2023,United States,2020,37,2020-09-12,59665,53942,697,11468,1899,2330,681,2560,748,928,604,12355,3046,4628,4078,,,,,,,,,,,,,,,
09/27/2023,United States,2020,38,2020-09-19,59753,54137,744,11630,1861,2373,716,2518,778,921,628,12697,2948,4280,3764,,,,,,,,,,,,,,,
09/27/2023,United States,2020,39,2020-09-26,60613,55059,764,11863,1843,2499,724,2672,786,923,588,12710,3077,4305,3797,,,,,,,,,,,,,,,
09/27/2023,United States,2020,40,2020-10-03,59822,54114,718,11425,1896,2413,763,2579,719,944,646,12660,2886,4246,3699,,,,,,,,,,,,,,,
09/27/2023,United States,2020,41,2020-10-10,61779,55933,757,11829,1895,2515,726,2614,798,958,621,12810,3123,4823,4279,,,,,,,,,,,,,,,
09/27/2023,United States,2020,42,2020-10-17,60643,55200,776,11320,1844,2538,724,2598,815,1023,600,12580,3039,5204,4592,,,,,,,,,,,,,,,
09/27/2023,United States,2020,43,2020-10-24,62189,56847,728,11677,1835,2572,766,2698,796,944,604,12870,3078,6000,5330,,,,,,,,,,,,,,,
09/27/2023,United States,2020,44,2020-10-31,63425,58053,699,11528,1937,2460,793,2569,833,921,579,13154,3104,7031,6260,,,,,,,,,,,,,,,
09/27/2023,United States,2020,45,2020-11-07,67590,61742,765,11808,1961,2664,801,2896,814,1028,674,13675,3159,8766,7847,,,,,,,,,,,,,,,
09/27/2023,United States,2020,46,2020-11-14,68823,63215,795,11745,2025,2737,847,2753,858,1022,593,13467,3175,10654,9581,,,,,,,,,,,,,,,
09/27/2023,United States,2020,47,2020-11-21,71676,66245,819,11633,2117,2656,831,2815,857,1032,686,13644,3215,13365,12074,,,,,,,,,,,,,,,
09/27/2023,United States,2020,48,2020-11-28,73327,67922,773,11395,2156,2774,810,2756,861,1043,687,13571,3127,15628,14135,,,,,,,,,,,,,,,
09/27/2023,United States,2020,49,2020-12-05,77429,71976,844,11358,2214,2843,916,2835,903,1035,702,14303,3313,18578,16861,,,,,,,,,,,,,,,
09/27/2023,United States,2020,50,2020-12-12,82025,76440,836,11904,2303,2934,953,3033,969,1086,724,14583,3479,20941,19080,,,,,,,,,,,,,,,
09/27/2023,United States,2020,51,2020-12-19,82938,77523,840,11781,2356,3060,948,2948,920,1020,713,14757,3468,22342,20437,,,,,,,,,,,,,,,
09/27/2023,United States,2020,52,2020-12-26,84371,78718,858,11694,2330,2982,978,2861,922,1124,771,14842,3385,23399,21376,,,,,,,,,,,,,,,
09/27/2023,United States,2020,53,2021-01-02,87033,81119,894,11694,2448,3075,1011,3060,904,1111,712,15230,3509,24895,22760,,,,,,,,,,,,,,,
09/27/2023,United States,2021,1,2021-01-09,87074,81201,854,11340,2377,2946,1025,2956,936,1160,658,15103,3372,26028,23954,,,,,,,,,,,,,,,
09/27/2023,United States,2021,2,2021-01-16,87415,81622,828,11852,2473,2996,998,2939,963,1224,679,15012,3535,25743,23526,,,,,,,,,,,,,,,
09/27/2023,United States,2021,3,2021-01-23,83703,78116,839,11582,2217,2931,924,2816,899,1188,658,14626,3451,23734,21685,,,,,,,,,,,,,,,
09/27/2023,United States,2021,4,2021-01-30,79202,73653,783,11694,2183,2650,903,2783,954,1165,618,14306,3295,20363,18441,,,,,,,,,,,,,,,
09/27/2023,United States,2021,5,2021-02-06,76514,70618,833,11607,2106,2598,843,2861,926,1133,672,14426,3325,17069,15268,,,,,,,,,,,,,,,
09/27/2023,United States,2021,6,2021-02-13,71513,65874,833,11489,2091,2397,856,2656,895,1113,606,13963,3402,13551,12036,,,,,,,,,,,,,,,
09/27/2023,United States,2021,7,2021-02-20,69529,63975,821,11416,2305,2495,880,2702,863,1070,625,14278,3194,10835,9511,,,,,,,,,,,,,,,
09/27/2023,United States,2021,8,2021-02-27,66740,60968,868,11615,2003,2484,794,2622,891,1084,584,13614,3220,8675,7526,,,,,,,,,,,,,,,
09/27/2023,United States,2021,9,2021-03-06,63703,57930,791,11438,1982,2306,842,2580,815,1068,574,13317,3183,6742,5792,,,,,,,,,,,,,,,
09/27/2023,United States,2021,10,2021-03-13,61867,56205,839,11417,1915,2300,782,2638,857,1021,581,13214,3097,5734,4794,,,,,,,,,,,,,,,
09/27/2023,United States,2021,11,2021-03-20,60374,54422,767,11297,1986,2184,751,2555,850,991,613,12787,3090,4912,4097,,,,,,,,,,,,,,,
09/27/2023,United States,2021,12,2021-03-27,60841,54996,741,11426,1922,2252,695,2678,842,1034,609,13123,3127,4465,3780,,,,,,,,,,,,,,,
09/27/2023,United States,2021,13,2021-04-03,58699,52889,702,11099,1945,2049,704,2516,847,1013,598,12568,2954,4213,3539,,,,,,,,,,,,,,,
09/27/2023,United States,2021,14,2021-04-10,60998,54675,713,11570,1905,2186,752,2617,782,1040,624,12971,3063,4325,3658,,,,,,,,,,,,,,,
09/27/2023,United States,2021,15,2021-04-17,59174,53235,685,11389,1809,1966,684,2473,773,980,594,12814,3114,4462,3775,,,,,,,,,,,,,,,
09/27/2023,United States,2021,16,2021-04-24,60260,54276,729,11580,1907,2039,703,2566,864,981,573,12999,3102,4615,3945,,,,,,,,,,,,,,,
09/27/2023,United States,2021,17,2021-05-01,59833,54013,707,11621,1911,2125,692,2618,839,997,560,12832,2945,4181,3607,,,,,,,,,,,,,,,
09/27/2023,United States,2021,18,2021-05-08,59014,52987,700,11362,1895,2098,699,2585,843,917,585,12690,2982,4015,3445,,,,,,,,,,,,,,,
09/27/2023,United States,2021,19,2021-05-15,58469,52587,690,11542,1871,2015,670,2523,836,967,582,12431,2978,3694,3170,,,,,,,,,,,,,,,
09/27/2023,United States,2021,20,2021-05-22,58774,52637,711,11601,1718,2165,641,2622,865,971,603,12413,3012,3246,2755,,,,,,,,,,,,,,,
09/27/2023,United States,2021,21,2021-05-29,57344,51384,726,11276,1784,2009,659,2571,835,1023,586,12487,2926,2783,2314,,,,,,,,,,,,,,,
09/27/2023,United States,2021,22,2021-06-05,57459,51170,701,11497,1739,2040,634,2581,799,957,588,12463,2869,2353,2002,,,,,,,,,,,,,,,
09/27/2023,United States,2021,23,2021-06-12,57160,50783,738,11356,1815,2092,672,2617,820,956,591,12448,2866,2049,1682,,,,,,,,,,,,,,,
09/27/2023,United States,2021,24,2021-06-19,57262,50983,726,11532,1806,2095,641,2582,875,995,598,12610,2919,1783,1434,,,,,,,,,,,,,,,
09/27/2023,United States,2021,25,2021-06-26,56933,50733,747,11501,1856,1981,692,2645,898,947,654,12412,2961,1642,1320,,,,,,,,,,,,,,,
09/27/2023,United States,2021,26,2021-07-03,57530,51136,752,11581,1824,2053,625,2642,820,975,665,12606,3017,1549,1235,,,,,,,,,,,,,,,
09/27/2023,United States,2021,27,2021-07-10,57219,50732,772,11511,1726,1972,714,2602,881,998,650,12504,2882,1650,1352,,,,,,,,,,,,,,,
09/27/2023,United States,2021,28,2021-07-17,57253,51103,775,11581,1778,2025,719,2721,840,955,629,12242,2963,1996,1697,,,,,,,,,,,,,,,
09/27/2023,United States,2021,29,2021-07-24,58439,52271,780,11542,1797,2038,686,2680,783,942,692,12467,2996,2770,2422,,,,,,,,,,,,,,,
09/27/2023,United States,2021,30,2021-07-31,60317,54154,771,11652,1772,2137,746,2591,842,982,656,12786,2918,4126,3730,,,,,,,,,,,,,,,
09/27/2023,United States,2021,31,2021-08-07,63801,57390,771,11793,1914,2158,736,2825,822,998,621,12921,2990,6503,5950,,,,,,,,,,,,,,,
09/27/2023,United States,2021,32,2021-08-14,67050,60840,803,11996,2015,2156,774,2711,867,946,761,13193,2965,9425,8771,,,,,,,,,,,,,,,
09/27/2023,United States,2021,33,2021-08-21,69962,63769,764,11882,1952,2193,776,2794,861,1032,708,13146,3068,12207,11377,,,,,,,,,,,,,,,
09/27/2023,United States,2021,34,2021-08-28,72189,65912,743,11780,2011,2274,812,2732,931,1039,728,13421,2990,14212,13303,,,,,,,,,,,,,,,
09/27/2023,United States,2021,35,2021-09-04,73544,67248,774,11733,2009,2316,751,2706,841,1041,754,13414,3079,15539,14567,,,,,,,,,,,,,,,
09/27/2023,United States,2021,36,2021-09-11,73765,67322,832,11534,2042,2262,868,2692,901,1045,759,13446,3129,15454,14475,,,,,,,,,,,,,,,
09/27/2023,United States,2021,37,2021-09-18,73317,67119,827,11845,2034,2379,839,2805,925,1059,717,13157,3056,15246,14193,,,,,,,,,,,,,,,
09/27/2023,United States,2021,38,2021-09-25,72188,66027,813,11743,2017,2320,818,2747,868,1043,707,13068,3086,14375,13403,,,,,,,,,,,,,,,
09/27/2023,United States,2021,39,2021-10-02,71350,65107,888,11901,1979,2304,843,2757,894,1064,744,13248,3065,12858,11869,,,,,,,,,,,,,,,
09/27/2023,United States,2021,40,2021-10-09,69136,63023,843,11746,1958,2272,794,2765,866,982,696,13255,3119,11199,10305,,,,,,,,,,,,,,,
09/27/2023,United States,2021,41,2021-10-16,67551,61594,848,11699,1873,2168,860,2787,885,1037,669,13179,3104,9902,9039,,,,,,,,,,,,,,,
09/27/2023,United States,2021,42,2021-10-23,67064,61156,877,11752,1895,2296,803,2736,943,1018,679,13212,3176,8957,8101,,,,,,,,,,,,,,,
09/27/2023,United States,2021,43,2021-10-30,66503,60505,817,11749,2023,2285,843,2690,873,1070,702,13371,3196,7975,7203,,,,,,,,,,,,,,,
09/27/2023,United States,2021,44,2021-11-06,66624,60293,816,11710,2020,2316,908,2893,939,1076,736,13423,3242,7302,6511,,,,,,,,,,,,,,,
09/27/2023,United States,2021,45,2021-11-13,67467,61495,832,11918,2066,2483,829,2791,955,1069,789,13788,3278,7174,6472,,,,,,,,,,,,,,,
09/27/2023,United States,2021,46,2021-11-20,66990,61055,815,11650,2008,2421,913,2809,933,1073,720,13822,3205,7327,6550,,,,,,,,,,,,,,,
09/27/2023,United States,2021,47,2021-11-27,67969,62180,902,11717,2082,2444,882,2861,944,1031,759,14009,3314,7897,7077,,,,,,,,,,,,,,,
09/27/2023,United States,2021,48,2021-12-04,70202,64125,891,11863,2068,2401,948,2904,934,1171,823,14280,3395,8793,7994,,,,,,,,,,,,,,,
09/27/2023,United States,2021,49,2021-12-11,72148,66090,817,12100,2120,2384,1053,3091,991,1102,799,14656,3360,9744,8864,,,,,,,,,,,,,,,
09/27/2023,United States,2021,50,2021-12-18,71336,65423,859,11672,2132,2432,998,3056,988,1123,775,14378,3357,10268,9380,,,,,,,,,,,,,,,
09/27/2023,United States,2021,51,2021-12-25,72330,66516,859,11853,2108,2542,1080,3146,971,1168,865,14747,3317,10476,9477,,,,,,,,,,,,,,,
09/27/2023,United States,2021,52,2022-01-01,74452,68520,908,11673,2299,2496,1145,3181,961,1247,917,15020,3351,11700,10506,,,,,,,,,,,,,,,
09/27/2023,United States,2022,1,2022-01-08,79866,73852,965,11972,2423,2617,1235,3410,1056,1312,719,16185,3486,15155,13280,,,,,,,,,,,,,,,
09/27/2023,United States,2022,2,2022-01-15,85133,79112,950,12284,2549,3008,1133,3326,1070,1339,712,16538,3794,19132,16651,,,,,,,,,,,,,,,
09/27/2023,United States,2022,3,2022-01-22,85747,79835,864,11979,2601,2945,1100,3223,998,1349,740,16218,3833,21394,18437,,,,,,,,,,,,,,,
09/27/2023,United States,2022,4,2022-01-29,85126,79244,875,11917,2459,2982,1037,3273,1039,1287,718,16073,3770,21016,18049,,,,,,,,,,,,,,,
09/27/2023,United States,2022,5,2022-02-05,81392,75280,844,11772,2433,2956,975,3118,967,1280,631,15513,3546,18797,15810,,,,,,,,,,,,,,,
09/27/2023,United States,2022,6,2022-02-12,77317,71096,848,11852,2233,2753,948,3040,956,1285,682,14992,3639,15351,12697,,,,,,,,,,,,,,,
09/27/2023,United States,2022,7,2022-02-19,71068,64980,844,11665,2021,2503,828,2887,943,1198,650,14388,3360,11591,9345,,,,,,,,,,,,,,,
09/27/2023,United States,2022,8,2022-02-26,66225,60337,817,11271,1940,2419,866,2801,896,1192,636,13706,3361,8302,6507,,,,,,,,,,,,,,,
09/27/2023,United States,2022,9,2022-03-05,64574,58456,850,11559,2035,2317,872,2780,970,1203,615,13685,3309,6056,4617,,,,,,,,,,,,,,,
09/27/2023,United States,2022,10,2022-03-12,61932,55903,806,11516,1947,2179,791,2776,893,1206,584,13518,3220,4411,3218,,,,,,,,,,,,,,,
09/27/2023,United States,2022,11,2022-03-19,60660,54664,784,11565,1968,2142,784,2835,949,1092,628,13438,3117,3129,2108,,,,,,,,,,,,,,,
09/27/2023,United States,2022,12,2022-03-26,58674,53005,827,11417,1923,2107,772,2687,854,1143,605,12926,3053,2511,1637,,,,,,,,,,,,,,,
09/27/2023,United States,2022,13,2022-04-02,58157,52456,774,11502,1805,2053,749,2725,922,1122,602,12853,3117,1910,1147,,,,,,,,,,,,,,,
09/27/2023,United States,2022,14,2022-04-09,57946,52197,756,11459,1872,2110,787,2724,873,1117,585,13099,3042,1559,909,,,,,,,,,,,,,,,
09/27/2023,United States,2022,15,2022-04-16,57937,52180,787,11482,1819,2138,811,2698,913,1039,663,13024,3080,1410,807,,,,,,,,,,,,,,,
09/27/2023,United States,2022,16,2022-04-23,56807,51141,732,11317,1774,2041,732,2664,856,1056,572,12816,3142,1347,788,,,,,,,,,,,,,,,
09/27/2023,United States,2022,17,2022-04-30,57413,51615,799,11414,1803,2084,786,2713,872,1067,614,12782,3077,1427,845,,,,,,,,,,,,,,,
09/27/2023,United States,2022,18,2022-05-07,57571,51629,717,11253,1834,2149,767,2846,894,1047,632,12864,2970,1433,865,,,,,,,,,,,,,,,
09/27/2023,United States,2022,19,2022-05-14,58005,52035,801,11604,1812,2096,785,2659,851,1025,592,12984,2965,1675,1046,,,,,,,,,,,,,,,
09/27/2023,United States,2022,20,2022-05-21,57785,51849,805,11665,1728,2060,798,2805,818,1082,564,12643,2981,1747,1084,,,,,,,,,,,,,,,
09/27/2023,United States,2022,21,2022-05-28,57200,51405,715,11359,1768,2158,745,2640,860,1037,574,12455,3001,1944,1294,,,,,,,,,,,,,,,
09/27/2023,United States,2022,22,2022-06-04,57700,51569,743,11333,1769,2170,784,2725,891,1041,614,12590,2981,2010,1308,,,,,,,,,,,,,,,
09/27/2023,United States,2022,23,2022-06-11,58184,52001,771,11640,1730,2166,734,2634,863,1043,638,12751,2967,2140,1404,,,,,,,,,,,,,,,
09/27/2023,United States,2022,24,2022-06-18,57941,51706,748,11200,1846,2081,772,2677,869,1032,555,12774,2996,2200,1427,,,,,,,,,,,,,,,
09/27/2023,United States,2022,25,2022-06-25,58438,52175,773,11566,1830,2053,698,2671,839,1082,630,12772,2982,2333,1520,,,,,,,,,,,,,,,
09/27/2023,United States,2022,26,2022-07-02,58258,52004,793,11657,1799,2116,711,2564,870,1020,614,12694,2977,2428,1590,,,,,,,,,,,,,,,
09/27/2023,United States,2022,27,2022-07-09,58309,51925,790,11407,1775,2120,709,2573,864,1044,601,12617,3014,2592,1716,,,,,,,,,,,,,,,
09/27/2023,United States,2022,28,2022-07-16,58600,52334,747,11460,1789,2089,675,2527,886,1006,666,12797,2952,2937,2000,,,,,,,,,,,,,,,
09/27/2023,United States,2022,29,2022-07-23,59936,53543,789,11700,1806,2192,717,2570,883,1022,641,12877,3081,3235,2141,,,,,,,,,,,,,,,
09/27/2023,United States,2022,30,2022-07-30,58926,52788,733,11631,1824,2108,671,2450,914,1052,686,12815,2911,3407,2279,,,,,,,,,,,,,,,
09/27/2023,United States,2022,31,2022-08-06,59350,52996,765,11578,1725,2194,682,2623,824,1078,666,12820,2949,3378,2265,,,,,,,,,,,,,,,
09/27/2023,United States,2022,32,2022-08-13,58773,52481,764,11672,1744,2055,665,2495,840,1015,671,12535,2933,3291,2212,,,,,,,,,,,,,,,
09/27/2023,United States,2022,33,2022-08-20,58615,52776,736,11695,1793,2124,641,2530,875,1019,652,12560,3097,3171,2133,,,,,,,,,,,,,,,
09/27/2023,United States,2022,34,2022-08-27,58419,52399,767,11558,1703,2162,656,2521,886,967,644,12570,2998,3054,1956,,,,,,,,,,,,,,,
09/27/2023,United States,2022,35,2022-09-03,58248,52041,713,11880,1714,2078,626,2582,846,1010,717,12298,2994,2931,1889,,,,,,,,,,,,,,,
09/27/2023,United States,2022,36,2022-09-10,58830,52446,764,11550,1769,2102,723,2523,842,1043,641,12750,2984,2810,1777,,,,,,,,,,,,,,,
09/27/2023,United States,2022,37,2022-09-17,58397,52468,781,11803,1722,2179,698,2610,889,1085,632,12511,2994,2516,1595,,,,,,,,,,,,,,,
09/27/2023,United States,2022,38,2022-09-24,58885,52834,821,11834,1815,2167,690,2602,866,1085,637,12592,3083,2547,1596,,,,,,,,,,,,,,,
09/27/2023,United States,2022,39,2022-10-01,58687,52749,778,11702,1849,2130,686,2597,884,1018,656,12641,3066,2379,1528,,,,,,,,,,,,,,,
09/27/2023,United States,2022,40,2022-10-08,59702,53486,749,11889,1836,2283,725,2694,841,1012,717,12736,3157,2197,1347,,,,,,,,,,,,,,,
09/27/2023,United States,2022,41,2022-10-15,59870,53842,821,11815,1876,2254,742,2662,928,1070,702,13122,3111,2146,1348,,,,,,,,,,,,,,,
09/27/2023,United States,2022,42,2022-10-22,60247,54300,806,11706,1882,2341,821,2838,917,1121,663,13136,3119,2193,1376,,,,,,,,,,,,,,,
09/27/2023,United States,2022,43,2022-10-29,60193,54394,810,11698,1943,2372,780,2721,952,1106,701,13250,3191,2245,1395,,,,,,,,,,,,,,,
09/27/2023,United States,2022,44,2022-11-05,61211,55087,851,11943,1937,2350,901,2913,925,1058,708,13109,3167,2248,1416,,,,,,,,,,,,,,,
09/27/2023,United States,2022,45,2022-11-12,61213,55174,807,11867,1858,2324,995,2884,954,1119,704,13373,3146,2205,1381,,,,,,,,,,,,,,,
09/27/2023,United States,2022,46,2022-11-19,61802,56034,816,11973,2006,2282,1090,2984,939,1138,712,13717,3188,2257,1447,,,,,,,,,,,,,,,
09/27/2023,United States,2022,47,2022-11-26,64789,58829,934,12041,2068,2470,1238,3159,1053,1128,812,14443,3403,2499,1613,,,,,,,,,,,,,,,
09/27/2023,United States,2022,48,2022-12-03,65953,59958,898,11882,2160,2563,1664,3310,1029,1109,794,14648,3315,2596,1663,,,,,,,,,,,,,,,
09/27/2023,United States,2022,49,2022-12-10,67227,61016,912,12019,2006,2591,1814,3511,1093,1185,747,14697,3327,3037,2077,,,,,,,,,,,,,,,
09/27/2023,United States,2022,50,2022-12-17,66574,60586,932,12026,2112,2427,1770,3354,1084,1209,764,14715,3350,3190,2190,,,,,,,,,,,,,,,
09/27/2023,United States,2022,51,2022-12-24,68138,62148,966,12043,2261,2618,1709,3403,1072,1207,847,15362,3311,3324,2240,,,,,,,,,,,,,,,
09/27/2023,United States,2022,52,2022-12-31,70366,64175,973,11985,2357,2795,1916,3554,1135,1219,825,15694,3632,3666,2501,,,,,,,,,,,,,,,
09/27/2023,United States,2023,1,2023-01-07,69134,62822,993,11943,2220,2552,1770,3384,1079,1260,878,15038,3522,3874,2710,,,,,,,,,,,,,,,
09/27/2023,United States,2023,2,2023-01-14,66490,60697,939,11846,2031,2551,1452,3391,1056,1154,792,14534,3367,3693,2553,,,,,,,,,,,,,,,
09/27/2023,United States,2023,3,2023-01-21,64321,58596,855,12006,1921,2430,1192,3100,1133,1132,835,14043,3280,3247,2122,,,,,,,,,,,,,,,
09/27/2023,United States,2023,4,2023-01-28,62537,57061,905,11685,1896,2362,1130,3025,1050,1124,811,13795,3279,2910,1902,,,,,,,,,,,,,,,
09/27/2023,United States,2023,5,2023-02-04,62865,57141,854,11858,2042,2273,975,3021,1007,1145,864,13849,3300,2644,1663,,,,,,,,,,,,,,,
09/27/2023,United States,2023,6,2023-02-11,62949,57160,865,11992,1970,2422,977,3085,1002,1125,856,13827,3285,2345,1559,,,,,,,,,,,,,,,
09/27/2023,United States,2023,7,2023-02-18,61861,56253,832,11754,1991,2357,934,3007,1036,1104,854,13979,3239,2101,1354,,,,,,,,,,,,,,,
09/27/2023,United States,2023,8,2023-02-25,62131,56382,794,12041,1943,2268,879,2962,975,1146,888,13826,3189,2151,1385,,,,,,,,,,,,,,,
09/27/2023,United States,2023,9,2023-03-04,61419,55739,835,11695,1943,2216,848,3049,1023,1079,933,13609,3162,1992,1293,,,,,,,,,,,,,,,
09/27/2023,United States,2023,10,2023-03-11,60801,55148,876,11713,1858,2184,875,2934,993,1044,988,13513,3170,1846,1161,,,,,,,,,,,,,,,
